Key,Value1,Value2,Value3
1,0.6705426356589147,0.65,0.9
2,0.662015503875969,0.825,0.885
3,0.6715762273901809,0.6166666666666667,0.8666666666666667
4,0.6585271317829458,0.6625,0.8625
5,0.6762790697674419,0.7266666666666667,0.784
6,0.6680878552971576,0.7638888888888888,0.745
7,0.6715393133997786,0.7857142857142857,0.6814285714285714
8,0.6736434108527132,0.7708333333333334,0.68375
9,0.672609819121447,0.7703703703703704,0.6855555555555556
10,0.6594573643410853,0.7533333333333333,0.648
11,0.6551092318534179,0.7242424242424242,0.66
12,0.6545219638242894,0.7180555555555556,0.6591666666666667
13,0.6555754323196183,0.7243589743589743,0.6330769230769231
14,0.6573643410852713,0.7142857142857143,0.6457142857142857
15,0.659328165374677,0.7133333333333334,0.6366666666666667
16,0.6556201550387597,0.7041666666666667,0.639375
17,0.6584587323301414,0.6911764705882353,0.6535294117647059
18,0.654823428079242,0.6907407407407408,0.645
19,0.6537739698082415,0.6982456140350877,0.6405263157894737
20,0.649922480620155,0.6816666666666666,0.6315
21,0.6526024363233666,0.665079365079365,0.6352380952380953
22,0.6529245947850599,0.6712121212121213,0.6336363636363637
23,0.6529491068419279,0.6731884057971015,0.6352173913043478
24,0.6528423772609819,0.6701388888888888,0.6395833333333333
25,0.6527751937984496,0.666,0.6464
26,0.6558139534883721,0.6717948717948717,0.6511538461538462
27,0.6583979328165375,0.6746913580246914,0.6481481481481481
28,0.6585271317829458,0.6779761904761905,0.6471428571428571
29,0.6555466452820101,0.6775862068965517,0.6348275862068965
30,0.6576485788113695,0.6772222222222222,0.632
31,0.6591147786946737,0.6758064516129032,0.636774193548387
32,0.6585029069767442,0.678125,0.6396875
33,0.6596899224806202,0.6757575757575758,0.6393939393939394
34,0.6590287277701778,0.6852941176470588,0.6344117647058823
35,0.6591583610188262,0.680952380952381,0.6317142857142857
36,0.6576012058570199,0.6814814814814815,0.6286111111111111
37,0.6569662685941756,0.6846846846846847,0.6310810810810811
38,0.6557731538147695,0.675,0.6302631578947369
39,0.6560127211290002,0.6833333333333333,0.6317948717948718
40,0.6583333333333333,0.69,0.631
41,0.6609188882586501,0.6886178861788618,0.6309756097560976
42,0.6608157991878922,0.6773809523809524,0.6352380952380953
43,0.6617450874346493,0.6782945736434108,0.6351162790697674
44,0.6616631430584919,0.6791666666666667,0.6338636363636364
45,0.6626012058570198,0.6840740740740741,0.6364444444444445
46,0.6629086619480957,0.6826086956521739,0.6369565217391304
47,0.6636648523833086,0.6854609929078014,0.6340425531914894
48,0.662984496124031,0.6774305555555555,0.6360416666666666
49,0.661999683594368,0.6806122448979591,0.6259183673469387
50,0.6632713178294574,0.687,0.627
51,0.6636114911080712,0.6872549019607843,0.6276470588235294
52,0.6633720930232558,0.6878205128205128,0.6251923076923077
53,0.6633757495977768,0.6927672955974843,0.6266037735849057
54,0.6630634510479472,0.6944444444444444,0.63
55,0.6635940803382664,0.6954545454545454,0.6341818181818182
56,0.6633028792912514,0.6976190476190476,0.6333928571428571
57,0.6642730858153135,0.7029239766081872,0.6329824561403509
58,0.6629243517775996,0.7011494252873564,0.6313793103448276
59,0.6624359479700433,0.6994350282485876,0.6313559322033898
60,0.6633979328165375,0.7044444444444444,0.6341666666666667
61,0.6632227729063414,0.7024590163934427,0.6342622950819672
62,0.6631907976994249,0.7059139784946237,0.6374193548387097
63,0.6624953857511997,0.7042328042328042,0.6341269841269841
64,0.6619912790697674,0.7041666666666667,0.63234375
65,0.6624329159212881,0.6987179487179487,0.6323076923076923
66,0.6635541461122857,0.7012626262626263,0.6359090909090909
67,0.6637163022098809,0.7002487562189055,0.6338805970149254
68,0.6639876880984952,0.6963235294117647,0.6354411764705883
69,0.6633187282327828,0.6975845410628019,0.6342028985507246
70,0.6639091915836102,0.6971428571428572,0.6352857142857142
71,0.6641882301561306,0.6976525821596244,0.6356338028169014
72,0.664879414298019,0.6960648148148149,0.6377777777777778
73,0.6650844217903791,0.6970319634703196,0.6371232876712328
74,0.6655667295202179,0.695045045045045,0.6386486486486487
75,0.6656847545219639,0.6955555555555556,0.6410666666666667
76,0.6658812729498164,0.6947368421052632,0.6451315789473684
77,0.6660726870029196,0.6956709956709957,0.6454545454545455
78,0.6660007950705625,0.6995726495726495,0.647948717948718
79,0.6667255421450299,0.6972573839662447,0.6488607594936708
80,0.6675872093023256,0.6975,0.643875
81,0.6681022107378697,0.7012345679012346,0.6425925925925926
82,0.6678861788617886,0.6977642276422764,0.6431707317073171
83,0.6691230036424769,0.696987951807229,0.6425301204819277
84,0.6684016242155777,0.6942460317460317,0.6405952380952381
85,0.6689648882808937,0.6954901960784313,0.6407058823529411
86,0.6689561925365062,0.6965116279069767,0.64
87,0.668822952864653,0.6973180076628352,0.6389655172413793
88,0.6687191684284708,0.7007575757575758,0.6377272727272727
89,0.6682083442208867,0.700374531835206,0.6352808988764045
90,0.6684065460809647,0.7024074074074074,0.6348888888888888
91,0.6684896498849987,0.7014652014652014,0.6349450549450549
92,0.6681243680485339,0.7021739130434783,0.6352173913043478
93,0.6682670667666917,0.6987455197132616,0.6366666666666667
94,0.6683077684314696,0.698049645390071,0.6363829787234042
95,0.6672949816401469,0.6942105263157895,0.6347368421052632
96,0.6666747416020672,0.6947916666666667,0.6355208333333333
97,0.6664349076959961,0.6969072164948453,0.6342268041237114
98,0.6667378579338712,0.6991496598639456,0.6352040816326531
99,0.6671991230130765,0.6991582491582492,0.638080808080808
100,0.6679612403100775,0.7018333333333333,0.6377
101,0.6688464195256735,0.7013201320132013,0.6391089108910891
102,0.6685514515883872,0.7009803921568627,0.6387254901960784
103,0.6679987958154587,0.7027508090614887,0.6382524271844661
104,0.667598389982111,0.7043269230769231,0.6398076923076923
105,0.667766703580657,0.7055555555555556,0.6422857142857142
106,0.6674930525084101,0.705503144654088,0.640943396226415
107,0.6672679852206043,0.7062305295950155,0.6388785046728972
108,0.6670111972437553,0.7078703703703704,0.6372222222222222
109,0.6664248630965081,0.7056574923547401,0.6343119266055046
110,0.6666314305849189,0.7040909090909091,0.6365454545454545
111,0.666603813115441,0.7024024024024024,0.6352252252252252
112,0.6659883720930233,0.6991071428571428,0.6363392857142857
113,0.6662276188516155,0.7010324483775812,0.6372566371681416
114,0.6659050727594179,0.6997076023391813,0.639298245614035
115,0.6659993259184361,0.6989855072463768,0.6403478260869565
116,0.6656375300721732,0.698132183908046,0.6409482758620689
117,0.6654475584708143,0.6971509971509972,0.6412820512820513
118,0.6652345289712258,0.6990112994350283,0.6402542372881356
119,0.6655071330857925,0.6973389355742297,0.6420168067226891
120,0.6654198966408269,0.6980555555555555,0.6404166666666666
121,0.6653853546031135,0.6986225895316804,0.6416528925619834
122,0.6651480493074088,0.6990437158469945,0.6421311475409837
123,0.6658284489821642,0.701490514905149,0.6431707317073171
124,0.6661040260065016,0.7038978494623656,0.6442741935483871
125,0.6661085271317829,0.7061333333333333,0.64336
126,0.6658176448874124,0.707010582010582,0.6405555555555555
127,0.6660440700726362,0.7060367454068242,0.6414173228346457
128,0.6658490794573644,0.705078125,0.641796875
129,0.6659395469022295,0.7047803617571059,0.6421705426356589
130,0.6651460942158617,0.7033333333333334,0.6412307692307693
131,0.6654890821942127,0.7040712468193384,0.64
132,0.664922480620155,0.7063131313131313,0.64
133,0.6644285131433234,0.7083959899749374,0.6387218045112782
134,0.6637163022098809,0.7078358208955224,0.6367164179104478
135,0.6636692506459948,0.7082716049382716,0.636
136,0.6630015959872321,0.7074754901960785,0.6357352941176471
137,0.6629547897923386,0.7077858880778589,0.636058394160584
138,0.6631670598809123,0.7067632850241546,0.6357246376811594
139,0.66357146840667,0.7079136690647482,0.6346762589928058
140,0.6635326688815061,0.7060714285714286,0.6355714285714286
141,0.6636318654131618,0.7047281323877068,0.6335460992907801
142,0.6641008843760235,0.7036384976525821,0.6347183098591549
143,0.6632568981406191,0.7025641025641025,0.6337062937062937
144,0.6640503875968993,0.7018518518518518,0.6335416666666667
145,0.6643571237636996,0.7001149425287356,0.6350344827586207
146,0.6644897525751301,0.7014840182648402,0.6341095890410959
147,0.6642567104361125,0.7018140589569161,0.6348299319727891
148,0.6642572805363504,0.7006756756756757,0.6322297297297297
149,0.6645231777743094,0.7,0.6346979865771812
150,0.6643307493540052,0.6977777777777778,0.6341333333333333
151,0.6644848298167257,0.6983443708609272,0.6329139072847683
152,0.6649122807017543,0.6989035087719299,0.6325657894736842
153,0.6654709428991235,0.6981481481481482,0.6327450980392156
154,0.6655189771468841,0.697943722943723,0.6334415584415585
155,0.6654913728432108,0.698494623655914,0.634258064516129
156,0.6649672033392964,0.6988247863247863,0.6331410256410256
157,0.6650669036685923,0.6994692144373673,0.6338853503184714
158,0.6649151211853597,0.7011603375527427,0.6346835443037975
159,0.6653893033006679,0.699895178197065,0.6344654088050314
160,0.665,0.7005208333333334,0.6349375
161,0.6653810968270018,0.7017598343685301,0.6367701863354037
162,0.6651928414202316,0.7022633744855967,0.6365432098765432
163,0.6654491843819851,0.7039877300613497,0.6363803680981595
164,0.6650926451124977,0.7057926829268293,0.6374390243902439
165,0.6651303735024665,0.7068686868686869,0.6372727272727273
166,0.6651816568599981,0.7040160642570281,0.6387349397590362
167,0.6653298055052685,0.7035928143712575,0.6398203592814371
168,0.66578073089701,0.7053571428571429,0.6401785714285714
169,0.666318058804642,0.7056213017751479,0.6403550295857988
170,0.6661194710442316,0.7047058823529412,0.6406470588235295
171,0.6657600072532753,0.7060428849902534,0.6408771929824562
172,0.6657607715882459,0.7054263565891473,0.6412209302325581
173,0.6660751893175606,0.7068400770712909,0.641849710982659
174,0.6665686536576673,0.7062260536398467,0.6409195402298851
