AOI,Count
0,186145778
100,4897914
200,2086879
300,1761859
400,1476811
500,1128766
600,826631
700,588881
800,407583
900,271764
1000,172149
1100,104003
1200,58139
1300,30381
1400,15618
1500,7693
1600,5246
1700,3963
1800,2999
1900,2224
2000,1516
2100,1069
2200,746
2300,465
2400,266
2500,187
2600,121
2700,78
2800,55
2900,48
3000,36
3100,35
3200,25
3300,25
3400,10
3500,10
3600,10
3700,9
3800,7
3900,1
